title,lead author,year,publication type,genetics,genomic,evolution,sex differences,dosage (test),mechanism,cell stuff,issue,development,epigenetics,methods,treatment,race,unsure,irrelevant,notes etc
"X-autosome translocations, meiotic synapsis, chromosome evolution and speciation",Ashley,2002,review,,translocation,mammals,,,meiosis,,sterility,,,,,,,,
Rheumatic diseases and Klinefelter's syndrome,Rovensky,2006,review,,,,,,,,"Klinefelter's syndrome, KS",,,"case study, large population study",,,,,
"An introduction to epigenetics in cardiovascular development, disease, and sexualization",Cunningham,2018,review,,,,,,epigenetics,,"cardiovascular, cardiovascular system",,,,,,,,
Autoimmunity and Klinefelter's syndrome: when men have two X chromosomes,Sawalha,2009,review,"CD40L, Xq28",,,x,,"xci, exci",,"autoimmune, Klinefelter's syndrome, KS, SLE, Turner's syndrome",,,,,,,,
Could a recommended daily allowance for carnitine in infancy prevent 10-20% of autism?,Beaudet,2018,experiment,SLC6A14,TMLHE,,x,,"brain carnitine deficiency, xci",,"autism, brain",,,mice,,,,,
Correlation between sexual phenotype and X-chromosome inactivation pattern in the X*XY wood lemming,Schempp,1985,,,,,,,,,,,,,,,,,
The omniscient placenta: Metabolic and epigenetic regulation of fetal programming,Nugent,2015,review,OGT,,,,,"hypothalamic pituitary adrenal axis, HPA",,"pregnacy, neurological, prenatal stress, neurodevelopment",,,,,,,,
Reduced risk of synovial sarcoma in females: X-chromosome inactivation?,Bu,2002,analysis,,translocation,,x,,xci,,"synovial sarcoma, cancer",,,,,,,,
Biological underpinnings of sex differences in neurological disorders,Winek,2022,review,,,,x,,,,"neurological, brain",,,,,,,,
Picture quiz: Can you make the correct diagnosis?,,2006,,,,,,,,,,,,,,,,,
Gene regulatory mechanisms underlying sex differences in brain development and psychiatric disease,Manoli,2018,review,,,,x,,"mutations, sex hormone receptors",,"brain, psychiatic disease, neurological, nervous system, neuropsychiatric",,,,,,,,
Enjoy the silence: X-chromosome inactivation diversity in somatic cells,Sierra,2019,review,,,,x,,exci,,"immune, autoimmunity",,,,,,,,
"Translating the Transcriptome: Sex Differences in the Mechanisms of Depression and Stress, Revisited",Rainville,2022,review,,,,x,,,,"stress, mood disorder, depression, brain",,,,,,,,
"Analysis of Parent-of-Origin Effects on the X Chromosome in Asian and European Orofacial Cleft Triads Identifies Associations with DMD, FGF13, EGFL6, and Additional Loci at Xp22.2",Skare,2018,analysis,"DMD, FGF13, EGFL6, Xp22.2",,,x,,,,"orofacial clefts, OFCs",,,GWAS,,"Asian, European",,,
The female protective effect in autism spectrum disorder is not mediated by a single genetic locus,Gockley,2015,analysis,,,,x,,exci,,"autism, ASD",,,association study,,,,,
Sex-specific expression of gastrin-releasing peptide receptor: relationship to smoking history and risk of lung cancer,Shriver,2000,analysis,GRPR,,,x,,exci,,"lung cancer, cancer",,mRNA,gene expression,,,,,
Nonhormonal explanations for sex discrepancy in human illness: Annals of the New York Academy of Sciences,Lockshin,2010,review,,,,x,,,,"autoimmune, pregnacy",,,,,,probs,,
X chromosome inactivation and autoimmunity,,,,,,,,,,,,,,,,,,,
Height discordance in monozygotic females is not attributable to discordant inactivation of X-linked stature determining genes,Healey,2001,study,,,,,,,,height,,,,,,,yea,
Mitochondrial maintenance failure in aging and role of sexual dimorphism,Tower,2015,analysis,"AKT, PARP, p53, FOXO",,"drosophila, elegans, mammals",x,,mitochondria maintenance,,aging,,,,,,,,
Disruption of imprinted X inactivation by parent-of-origin effects at Tsix,Lee,2000,experiment,Tsix,,"marsupials, placental mammals, mammals",,,,,,,,mice,,,,,
Exploring Uncharted Territory: Genetically Determined Sex Differences in Parkinson's Disease,Klein,2021,,,,,,,,,parkinson's disease,,,,,,,,
The H3K27me3 demethylase UTX is a gender-specific tumor suppressor in T-cell acute lymphoblastic leukemia,Van der Meulen,2015,analysis,UTX,,,x,,exci,,"lymphoblastic leukemia, cancer, T-ALL",,,,,,,,
Sex bias in paediatric autoimmune disease - Not just about sex hormones?,Chiaroni-Clarke,2016,review,,,,x,,,,"autoimmune, juvenile idiopathic arthritis, JIA, paediatric",,,,,,,,
"Using mouse models to investigate sex-linked genetic effects on brain, behaviour and vulnerability to neuropsychiatric disorders",Davies,2013,review,,,"mice, mammal",x,,,,"brain, neuropyschiatric, neurological",,,mice,,,,,
Regulatory RNAs and chromatin modification in dosage compensation: a continuous path from flies to humans?,Angelopoulou,2008,review,,,"mammal, drosophila, fruitfly, ",,,,,,,,,,,,,
"Review: Sexual dimorphism in the formation, function and adaptation of the placenta",Kalisch-Smith,2017,study,,,,x,,,,fetal growth,placetal growth,,rodent,,,,,
Tumor-suppressor genes that escape from X-inactivation contribute to cancer sex bias,Dunford,2017,analysis,"ATRX, CNKSR2, DDX3X, KDM5C, KDM6A, MAGEC3",,,x,,"mutations, exci",,cancer,,,,,,,,
X chromosome signatures associated with the microRNome of human peripheral blood CD4+ T cells; integrating the epimicroRNome into the molecular basis of human lupus,Hewagama,2010,analysis,,"miRNA, dna demethylation",,x,,miRNA overexpression,CD4+ T cells,"autoimmune, lupus",,,,,,,,
The William Allan Memorial Award Address: X-chromosome inactivation and the location and expression of X-linked genes,Lyon,1988,,,,,,,xci,,,,,,,,,,
Role of gender in multiple sclerosis: Clinical effects and potential molecular mechanisms,Greer,2011,review,,,,x,,,,"multiple sclerosis, MS, immune, nervous system",,,,,,,,
Immune mechanisms associated with sex-based differences in severe COVID-19 clinical outcomes,Arnold,2022,review,,,,x,,xci,,"immune, COVID, SARS-CoV-2",,,,,,,,
Steroid sulphatase levels are higher in males than in females of the root vole (Microtus oeconomus). Yet another rodent with an active Y-linked allele?,Wilberg,1987,experiment,STS,,mice,,,xci,,,,,rodent,,,,,
Sex differences in the late first trimester human placenta transcriptome,Gonzalez,2018,analysis,,,,x,,,,pregnacy,placenta,,RNAseq,,,,,
The Genomics of Turner Syndrome and Sex-Biased Neuropsychiatric Disorders,Lynn,2011,review,,,,,,,,"Turner syndrome, neuropsychiatric, TS",,,,,,,,
Sex related embryo development,Kochhar,2001,review,,,,x,,xci,,,embryo,,,,,,,
Sex Differences in Autoimmune Disease,Lockshin,2006,,,,,,,,,,,,,,,,,
Sexual dimorphism in SLE: above and beyond sex hormones,Christou,2019,review,,,,x,,mutations,,"SLE, autoimmune",,,,,,,,
Female predominance of autoimmune diseases: Do lymphocytes have a sex?,Miquel,2021,,,,,x,,"exci, X chromosome mosaicism",,autoimmune,,,,,,,,
An X-linked tumor suppressor in T-ALL,Aries,2015,,UTX,,,,,,,"T-ALL, cancer, leukemia",,,,,,,,
Clinical Epigenetic Therapies Disrupt Sex Chromosome Dosage Compensation in Human Female Cells,Laskowski,2018,experiment,,small-molecule epigenetic inhibitors,,x,,"xci, epigenetics",,cancer,,,,,,,,
The X chromosome and sex-specific effects in infectious disease susceptibility,Schurz,2019,review,,,,x,,"exci, skewed xci",,"infectious disease, immune, tuberculosis",,,,,,,,
Dosage compensation is less effective in birds than in mammals,Itoh,2007,analysis,,,"avian, mammal, mouse, mice, human",,x,exci,,,,,,,,,,
SLC6A14-mediated higher blood-brain barrier transport of carnitine in females: Relevance to the metabolic sexual dimorphism of brain and the extreme male/ female ratio and in milder autism,Beaudet,2017,experiment,SLC6A14,,,x,,xci,,"brain, brain carnitine deficiency, autism, infant, paediatric",,,,,,,,
Approaching sex differences in cardiovascular non-coding rna research,Jusic,2020,review,,ncRNAs,,x,,,,"cardiovascular, CVD",,,,,,,,
